Year,Number,Sex
1869,2,Males
1870,0,Males
1871,2,Males
1872,0,Males
1873,3,Males
1874,2,Males
1875,1,Males
1876,5,Males
1877,3,Males
1878,,Males
1879,19,Males
1880,1,Males
1881,5,Males
1882,0,Males
1883,0,Males
1884,0,Males
1885,0,Males
1886,14,Males
1887,184,Males
1888,230,Males
1889,499,Males
1890,841,Males
1891,1774,Males
1892,,Males
1893,,Males
1894,,Males
1895,,Males
1896,2915,Males
1897,3203,Males
1898,2651,Males
1869,0,Females
1870,0,Females
1871,2,Females
1872,0,Females
1873,0,Females
1874,4,Females
1875,0,Females
1876,3,Females
1877,0,Females
1878,,Females
1879,12,Females
1880,3,Females
1881,0,Females
1882,0,Females
1883,0,Females
1884,0,Females
1885,0,Females
1886,1,Females
1887,24,Females
1888,43,Females
1889,94,Females
1890,285,Females
1891,714,Females
1892,,Females
1893,,Females
1894,,Females
1895,,Females
1896,1224,Females
1897,1529,Females
1898,1624,Females
