Year,Males,Females,Total
1899,2446,1262,3708
1900,1813,1107,2920
1901,2729,1335,4064
1902,3337,1645,4982
1903,3749,1802,5551
1904,2480,1173,3653
1905,3248,1574,4822
1906,4100,1724,5824
1907,4276,1604,5880
1908,3926,1594,5520
1909,2383,1285,3668
1910,4148,2169,6317
1911,3609,1835,5444
1912,3646,1879,5525
1913,6177,3033,9210
1914,6391,2632,9023
1915,1174,593,1767
1916,474,202,676
1917,690,286,976
1918,143,67,210
1919,157,74,231
1920,1915,1132,3047
1921,2783,2322,5105
1922,685,649,1334
1923,605,601,1206
1924,801,794,1595
1925,205,245,450
1926,184,304,488
1927,302,382,684
1928,226,387,613
1929,245,387,632
1930,249,388,637
1931,103,241,344
1932,114,170,284
Total,69513,36877,106390
