Year,Number,Country
1948,,Lebanon
1949,19,Lebanon
1950,204,Lebanon
1951,220,Lebanon
1952,175,Lebanon
1953,261,Lebanon
1954,324,Lebanon
1955,276,Lebanon
1956,390,Lebanon
1957,411,Lebanon
1958,366,Lebanon
1959,438,Lebanon
1960,511,Lebanon
1961,498,Lebanon
1962,406,Lebanon
1963,448,Lebanon
1964,410,Lebanon
1965,430,Lebanon
1966,535,Lebanon
1967,752,Lebanon
1968,892,Lebanon
1969,1313,Lebanon
1970,1903,Lebanon
1971,1867,Lebanon
1972,1984,Lebanon
1973,1977,Lebanon
1974,2400,Lebanon
1975,2075,Lebanon
1976,4532,Lebanon
1977,5685,Lebanon
1978,4556,Lebanon
1979,4634,Lebanon
1980,4136,Lebanon
1981,3955,Lebanon
1982,3529,Lebanon
1983,2941,Lebanon
1984,3213,Lebanon
1985,3385,Lebanon
1948,345,Syria
1949,331,Syria
1950,130,Syria
1951,131,Syria
1952,107,Syria
1953,124,Syria
1954,180,Syria
1955,155,Syria
1956,185,Syria
1957,198,Syria
1958,209,Syria
1959,234,Syria
1960,207,Syria
1961,191,Syria
1962,245,Syria
1963,226,Syria
1964,244,Syria
1965,255,Syria
1966,333,Syria
1967,555,Syria
1968,644,Syria
1969,904,Syria
1970,1026,Syria
1971,951,Syria
1972,1012,Syria
1973,1128,Syria
1974,1082,Syria
1975,1222,Syria
1976,1666,Syria
1977,1676,Syria
1978,1416,Syria
1979,1528,Syria
1980,1658,Syria
1981,2127,Syria
1982,2354,Syria
1983,1683,Syria
1984,1723,Syria
1985,1518,Syria
1948,184,Egypt
1949,165,Egypt
1950,165,Egypt
1951,169,Egypt
1952,156,Egypt
1953,168,Egypt
1954,264,Egypt
1955,214,Egypt
1956,272,Egypt
1957,332,Egypt
1958,498,Egypt
1959,1177,Egypt
1960,854,Egypt
1961,452,Egypt
1962,384,Egypt
1963,760,Egypt
1964,828,Egypt
1965,1429,Egypt
1966,1181,Egypt
1967,1703,Egypt
1968,2124,Egypt
1969,3411,Egypt
1970,4937,Egypt
1971,3643,Egypt
1972,2512,Egypt
1973,2274,Egypt
1974,1831,Egypt
1975,1707,Egypt
1976,2290,Egypt
1977,2328,Egypt
1978,2836,Egypt
1979,3241,Egypt
1980,2833,Egypt
1981,3366,Egypt
1982,2800,Egypt
1983,2600,Egypt
1984,2642,Egypt
1985,2802,Egypt
1948,376,Palestine and Jordan
1949,238,Palestine and Jordan
1950,226,Palestine and Jordan
1951,284,Palestine and Jordan
1952,288,Palestine and Jordan
1953,304,Palestine and Jordan
1954,346,Palestine and Jordan
1955,411,Palestine and Jordan
1956,814,Palestine and Jordan
1957,994,Palestine and Jordan
1958,528,Palestine and Jordan
1959,607,Palestine and Jordan
1960,576,Palestine and Jordan
1961,658,Palestine and Jordan
1962,771,Palestine and Jordan
1963,752,Palestine and Jordan
1964,726,Palestine and Jordan
1965,702,Palestine and Jordan
1966,1325,Palestine and Jordan
1967,1604,Palestine and Jordan
1968,2010,Palestine and Jordan
1969,2617,Palestine and Jordan
1970,2842,Palestine and Jordan
1971,2588,Palestine and Jordan
1972,2756,Palestine and Jordan
1973,2450,Palestine and Jordan
1974,2838,Palestine and Jordan
1975,2578,Palestine and Jordan
1976,3328,Palestine and Jordan
1977,2875,Palestine and Jordan
1978,3483,Palestine and Jordan
1979,3360,Palestine and Jordan
1980,3322,Palestine and Jordan
1981,2825,Palestine and Jordan
1982,2923,Palestine and Jordan
1983,2718,Palestine and Jordan
1984,2438,Palestine and Jordan
1985,2998,Palestine and Jordan
1948,103,Maghreb (North Africa)
1949,118,Maghreb (North Africa)
1950,95,Maghreb (North Africa)
1951,111,Maghreb (North Africa)
1952,77,Maghreb (North Africa)
1953,220,Maghreb (North Africa)
1954,464,Maghreb (North Africa)
1955,533,Maghreb (North Africa)
1956,649,Maghreb (North Africa)
1957,727,Maghreb (North Africa)
1958,707,Maghreb (North Africa)
1959,742,Maghreb (North Africa)
1960,700,Maghreb (North Africa)
1961,635,Maghreb (North Africa)
1962,642,Maghreb (North Africa)
1963,709,Maghreb (North Africa)
1964,722,Maghreb (North Africa)
1965,590,Maghreb (North Africa)
1966,569,Maghreb (North Africa)
1967,644,Maghreb (North Africa)
1968,732,Maghreb (North Africa)
1969,788,Maghreb (North Africa)
1970,712,Maghreb (North Africa)
1971,584,Maghreb (North Africa)
1972,645,Maghreb (North Africa)
1973,630,Maghreb (North Africa)
1974,628,Maghreb (North Africa)
1975,565,Maghreb (North Africa)
1976,784,Maghreb (North Africa)
1977,633,Maghreb (North Africa)
1978,778,Maghreb (North Africa)
1979,827,Maghreb (North Africa)
1980,895,Maghreb (North Africa)
1981,959,Maghreb (North Africa)
1982,930,Maghreb (North Africa)
1983,992,Maghreb (North Africa)
1984,906,Maghreb (North Africa)
1985,1106,Maghreb (North Africa)
1948,1,Gulf Region
1949,2,Gulf Region
1950,14,Gulf Region
1951,22,Gulf Region
1952,89,Gulf Region
1953,136,Gulf Region
1954,110,Gulf Region
1955,90,Gulf Region
1956,101,Gulf Region
1957,110,Gulf Region
1958,101,Gulf Region
1959,103,Gulf Region
1960,120,Gulf Region
1961,139,Gulf Region
1962,133,Gulf Region
1963,134,Gulf Region
1964,168,Gulf Region
1965,174,Gulf Region
1966,242,Gulf Region
1967,195,Gulf Region
1968,214,Gulf Region
1969,453,Gulf Region
1970,641,Gulf Region
1971,706,Gulf Region
1972,1147,Gulf Region
1973,402,Gulf Region
1974,848,Gulf Region
1975,549,Gulf Region
1976,984,Gulf Region
1977,682,Gulf Region
1978,1012,Gulf Region
1979,854,Gulf Region
1980,918,Gulf Region
1981,1145,Gulf Region
1982,992,Gulf Region
1983,1111,Gulf Region
1984,1105,Gulf Region
1985,1331,Gulf Region
1948,0,Africa (Sudan and Djibouti)
1949,0,Africa (Sudan and Djibouti)
1950,0,Africa (Sudan and Djibouti)
1951,0,Africa (Sudan and Djibouti)
1952,0,Africa (Sudan and Djibouti)
1953,2,Africa (Sudan and Djibouti)
1954,19,Africa (Sudan and Djibouti)
1955,14,Africa (Sudan and Djibouti)
1956,21,Africa (Sudan and Djibouti)
1957,41,Africa (Sudan and Djibouti)
1958,48,Africa (Sudan and Djibouti)
1959,30,Africa (Sudan and Djibouti)
1960,69,Africa (Sudan and Djibouti)
1961,46,Africa (Sudan and Djibouti)
1962,27,Africa (Sudan and Djibouti)
1963,30,Africa (Sudan and Djibouti)
1964,59,Africa (Sudan and Djibouti)
1965,47,Africa (Sudan and Djibouti)
1966,69,Africa (Sudan and Djibouti)
1967,57,Africa (Sudan and Djibouti)
1968,56,Africa (Sudan and Djibouti)
